source_publication,target_publication,source_page_id,target_page_id,source_date,target_date,ngram_similarity,shingle_similarity,combined_similarity,shared_content,source_context,target_context,source_window_id,target_window_id,source_combined_id,target_combined_id,source_start_word,source_end_word,target_start_word,target_end_word,source_total_page_words,target_total_page_words,reuse_type
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.07356948228882834,0.2120451693851945,0.15665489454664805,girls is years old this amputation is called pharaonic circumcision everybody does,a big party when it is executed and everybody is happy the women sing and shout in order to overrule the cries of pain from the child if everything turns out well the parents are congratulated that the girl did not lose too much blood the custom to circumcise the girls is years old this amputation is called pharaonic circumcision everybody does that with their daughters except the tiny minority of whites the european influenced upper class also perform the circumcision even gynecologists and other physicians do it the amputation is said to be prohibited according to a law for appearance s sake that nobody heeds anyway circumcision of girls is not,power as she writes in when i die and if i ever touched a life i hope that life knows that i know that touching was and still is and will always be the true revolu tion maimed the girl did not lose too much blood the custom of circumcising girls is years old this amputation is called pharaonic circumcision everybody does this to their daughters except for the tiny minority of whites who are held in contempt they represent the occupation forces of past centuries who have stayed on european influenced upper class sudanese also practice this circumcision even gynecologists and physicians do it the amputation is said to be prohibited,10,12,318_w10,1613_w12,1500,1700,1800,2000,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.07167235494880546,0.23392718822618125,0.16902525491523093,physicians do it the amputation is said to be prohibited,congratulated that the girl did not lose too much blood the custom to circumcise the girls is years old this amputation is called pharaonic circumcision everybody does that with their daughters except the tiny minority of whites the european influenced upper class also perform the circumcision even gynecologists and other physicians do it the amputation is said to be prohibited according to a law for appearance s sake that nobody heeds anyway circumcision of girls is not discussed is never mentioned in newspapers tv or radio and the people refuse to talk about it with foreigners i feel powerless translator s note the custom of clitoridectomy and infibulation which is,except for the tiny minority of whites who are held in contempt they represent the occupation forces of past centuries who have stayed on european influenced upper class sudanese also practice this circumcision even gynecologists and physicians do it the amputation is said to be prohibited by law for appearances sake circumci sion of girls is not discussed is never mentioned in the media and the people refuse to discuss it with foreigners i feel power less the only thing i can do is to create publicity abroad in order to create pressure on the sudan,10,13,318_w10,1613_w13,1500,1700,1950,2070,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,323,1585,1975-09-01,1975-01-01,0.041044776119402986,0.1806797853309481,0.12482578164633006,yvonne wanrow s legal defense fund seattle first national bank,following example letter sign it stamp it and get it in the mail as soon as possible yvonne is poor has no income and her family needs her she cannot win her freedom alone with a new trial yvonne s financial needs are greatly intensified donations can be sent to yvonne wanrow s legal defense fund seattle first national bank north spokane branch account spokane washington letters of support and copies of the letters to the governor can be sent to yvonne wanrow s indian legal defense committee p o box inchelium washington sample letter honorable daniel j evans governor of the state of washington capitol building olympia washington dear,can be sent to national abortion rights action league room w th street new york ny support our advertisers they help support us yvonne wanrow s legal defense fund seattle first national bank spokane branch account spokane wa petitions can be obtained from yvonne s indian legal defense committee w broadway spokane wa letters demanding that the charges be dropped should be addressed to governor daniel j evans state capitol building olympia wa with copies sent to yvonne s indian legal defense committee,0,10,323_w0,1585_w10,0,200,1500,1595,629,1595,minimal_reuse
GoldFlower,AintIAWoman,365,884,1975-02-01,1974-05-01,0.16666666666666666,0.2702702702702703,0.22882882882882882,i m sorry but the text you provided appears to be incomplete or,i m sorry but the text you provided appears to be incomplete or nonsensical please provide a longer or more coherent segment of text for correction,i m sorry but the text you provided appears to be incomplete or garbled making it difficult to correct while preserving meaning and context if you have a more complete or clearer version of the text please provide it and i will be happy to assist you with the corrections,0,0,365_w0,884_w0,0,26,0,50,26,50,partial_reuse
GoldFlower,BigMammaRag,366,1529,1975-02-01,1975-04-01,0.05361930294906166,0.25111252383979654,0.1721152354835026,has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and,been requested to hire a criminologist to investigate her case but the state refuses to provide her with the money a criminologist will cost thousands of dollars and the testimony of such an expert is crucial to the outcome of her trial vital evidence such as the jailer s clothing has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and have this material examined requests that the evidence be kept safely in one,medical examiner s testimony and report which confirm little s story were not ad mitted attorneys for little s defense say the trial will be a difficult one many of little s supporters say a fair trial in north carolina will be impossible for example vital evidence for the case has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and examine the material defense requests that evidence be kept safely in one place have been denied in addition the defense s re quest for funds to hire an expert criminologist to investigate the case has been denied this is a precedent setting case in many many ways said defense attorney,4,1,366_w4,1529_w1,600,800,150,350,1862,2181,minimal_reuse
GoldFlower,BigMammaRag,366,1529,1975-02-01,1975-04-01,0.05929919137466307,0.1888412017167382,0.13702439757990814,has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and,such an expert is crucial to the outcome of her trial vital evidence such as the jailer s clothing has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and have this material examined requests that the evidence be kept safely in one place have been denied human life and human rights at stake our first goal is to save joanne s life in the process her trial will bring to light a number of extremely important issues the very,medical examiner s testimony and report which confirm little s story were not ad mitted attorneys for little s defense say the trial will be a difficult one many of little s supporters say a fair trial in north carolina will be impossible for example vital evidence for the case has been scattered among various law enforcement agencies making it extremely difficult for defense attorneys to locate and examine the material defense requests that evidence be kept safely in one place have been denied in addition the defense s re quest for funds to hire an expert criminologist to investigate the case has been denied this is a precedent setting case in many many ways said defense attorney,5,1,366_w5,1529_w1,750,950,150,350,1862,2181,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.17964071856287425,0.4648997134670487,0.3507961155053789,ihs area director john davis issued a directive to employees to refrain from speaking to the press and to use ihs channels for all complaints,oklahoma investigations denials hearings and transfers have followed in the wake of charges of widespread sterilization of young native women in the u s operated indian health service hospital although native nurses and staff employed at the hospital had been making complaints through ihs channels since last june without results ihs area director john davis issued a directive to employees to refrain from speaking to the press and to use ihs channels for all complaints upon penalty of dismissal dr richard w stander who has received a number of usphs grants in the past for scientific investigation regarding pregnant poverty status women in indiana and ohio was sent to claremore by the u s depart ment of health education and welfare he stated that he,as genocide rewritten by caroli hille claremore oklahoma investigations have been made concerning numerous sterilizations of young native women in the u s operated in dian health service hospital native nurses and staff at the hospital have complained of these practices through ihs channels without result since last june nevertheless ihs area director john davis issued a directive to employees to refrain from speaking to the press and to use ihs channels for all complaints under penalty of dismissal dr richard w stander who has conducted studies on preg nant poverty status women in indiana and ohio under usphs grants in the past investigated for the department of health education and welfare the charges made at claremore he stated that the rate of sterilizations was,0,0,379_w0,1525_w0,0,200,0,200,1388,1555,partial_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.028720626631853787,0.18309859154929578,0.12134740558231899,extensive counseling by medical and social service personnel he said,in the past for scientific investigation regarding pregnant poverty status women in indiana and ohio was sent to claremore by the u s depart ment of health education and welfare he stated that he found no support for the allegations of genocide saying all sterilization procedures are performed only after extensive counseling by medical and social service personnel he said the rate of sterilizations was not unusual dr connie uri a los angeles physician and a native woman replied with statistics which said differently in the fiscal year there were native women sterilized at claremore of these were non therapeutic meaning they had the sole purpose of rendering,extensive counseling by medical and social service personnel he said legitimate birth control emery a johnson director of the indian health service told questioning congressmen that ihs considered non therapeutic sterilization a legitimate method of family planning we would be concern ed only if these procedures were performed under coercion or if there was evidence that the operations were carried,0,1,379_w0,1525_w1,0,200,150,350,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.07945205479452055,0.24487259167184586,0.17870437692091573,emery a johnson director of the indian health service told questioning congressmen that ihs,uri said that consent forms are written in english of a grade level and many women may not understand what they are signing she said there should also be a policy of informed consent addressing a family planning program that offers other means of birth control and instituting extensive counseling emery a johnson director of the indian health service told questioning congressmen that ihs con sidered non therapeutic sterilization a legitimate method of family planning we would be concerned only if these procedures were performed under coercion or if there was evidence that the operations were carried out without informed voluntary consent we are not aware,health education and welfare the charges made at claremore he stated that the rate of sterilizations was not unusual and that he found no support for allegations of genocide all sterilization procedures are per formed only after extensive counseling by medical and social service personnel he said legitimate birth control emery a johnson director of the indian health service told questioning congressmen that ihs considered non therapeutic sterilization a legitimate method of family planning we would be concern ed only if these procedures were performed under coercion,1,0,379_w1,1525_w0,150,350,0,200,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.2468354430379747,0.4909365558912387,0.3932961107499331,is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said,said differently in the fiscal year there were native women sterilized at claremore of these were non therapeutic meaning they had the sole purpose of rendering a young woman incapable of reproduction from the ihs records of indian women are of child bearing age or women claremore was and still is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said that consent forms are written in english of a grade level and many women may not understand what they are signing she said there should also be a policy of informed consent addressing a family planning program that offers other means of birth control and instituting extensive counseling emery a,and hew officials came from dr connie uri los angeles physician and a native woman she said that during the fiscal year native women were sterilized of them for non therapeutic reasons from the ihs records of indian women are of child bearing age or women claremore was still and is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said further that the consent forms are written in grade english and may not be understood by,1,1,379_w1,1525_w1,150,350,150,350,1388,1555,partial_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.07671232876712329,0.1735187424425635,0.1347961769723874,is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said,said differently in the fiscal year there were native women sterilized at claremore of these were non therapeutic meaning they had the sole purpose of rendering a young woman incapable of reproduction from the ihs records of indian women are of child bearing age or women claremore was and still is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said that consent forms are written in english of a grade level and many women may not understand what they are signing she said there should also be a policy of informed consent addressing a family planning program that offers other means of birth control and instituting extensive counseling emery a,women are of child bearing age or women claremore was still and is sterilizing one woman for every seven births that occur in the hospital this is genocide to indian people dr uri said further that the consent forms are written in grade english and may not be understood by many of the women signing them zero population growth may be all right for the white man because he s crowding this continent but for the indian it s genocidal let s control our,1,2,379_w1,1525_w2,150,350,300,500,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.050666666666666665,0.1807511737089202,0.1287173708920188,non therapeutic sterilization a legitimate method of family planning we would be,indian health service told questioning congressmen that ihs con sidered non therapeutic sterilization a legitimate method of family planning we would be concerned only if these procedures were performed under coercion or if there was evidence that the operations were carried out without informed voluntary consent we are not aware of any instance in which such services have been abused an official report of the senate subcommittee con firmed that the hospital,sterilizations was not unusual and that he found no support for allegations of genocide all sterilization procedures are per formed only after extensive counseling by medical and social service personnel he said legitimate birth control emery a johnson director of the indian health service told questioning congressmen that ihs considered non therapeutic sterilization a legitimate method of family planning we would be concern ed only if these procedures were performed under coercion,2,0,379_w2,1525_w0,300,500,0,200,1388,1555,minimal_reuse
GoldFlower,BigMammaRag,379,1525,1975-03-01,1975-04-01,0.16224188790560473,0.36758620689655175,0.2854484793001729,only if these procedures were performed under coercion or if there was evidence that the operations were carried out without informed,indian health service told questioning congressmen that ihs con sidered non therapeutic sterilization a legitimate method of family planning we would be concerned only if these procedures were performed under coercion or if there was evidence that the operations were carried out without informed voluntary consent we are not aware of any instance in which such services have been abused an official report of the senate subcommittee con firmed that the hospital s sterilization procedures do not set forth as clearly as possible the fact that the procedures are irreversible however to sterilize any,extensive counseling by medical and social service personnel he said legitimate birth control emery a johnson director of the indian health service told questioning congressmen that ihs considered non therapeutic sterilization a legitimate method of family planning we would be concern ed only if these procedures were performed under coercion or if there was evidence that the operations were carried out without informed consent we are not aware of any instance in which such services have been abused however a report of the senate subcommittee said that the hospital s sterilization program does not set forth as clearly as possible that the procedures are irreversible information contrary to that given by ihs and,2,1,379_w2,1525_w1,300,500,150,350,1388,1555,partial_reuse
